OBJECTID_1 *,Shape *,tmk_txt,OSDS Present,Newly Developed (2005 - 2021),500-ft Sewer Buffer,500-ft Coastline Buffer,WWTP 1-Mi Buffer,CEJST LIDAC,Sea Grant Priority,Island,AOI,Shape_Length,Shape_Area
337,Polygon,381003057,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001649,0
338,Polygon,379007027,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.001933,0
339,Polygon,379007028,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.002329,0
340,Polygon,379007029,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.004316,0.000001
341,Polygon,379007033,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.001819,0
342,Polygon,379007034,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.001883,0
343,Polygon,379007035,Yes,No,No,No,No,Yes,Medium,HAW,Kealakehe,0.002422,0
346,Polygon,379007038,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.001557,0
347,Polygon,379007039,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.001338,0
348,Polygon,379007040,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.001297,0
353,Polygon,381031001,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001315,0
357,Polygon,379010050,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002908,0
358,Polygon,379010051,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002906,0
359,Polygon,379010052,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002933,0
360,Polygon,379010053,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002943,0
362,Polygon,381022016,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001137,0
363,Polygon,381022017,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001103,0
364,Polygon,379001002,Yes,No,No,No,No,No,Low,HAW,Kealakehe,0.040743,0.0001
366,Polygon,379007052,Yes,No,No,No,No,Yes,Medium,HAW,Kealakehe,0.00965,0.000003
367,Polygon,379007017,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.002395,0
368,Polygon,379007018,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.001541,0
369,Polygon,381012048,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001102,0
370,Polygon,381012049,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001163,0
371,Polygon,381012050,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001227,0
372,Polygon,381012051,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001223,0
373,Polygon,381012052,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001462,0
374,Polygon,381012054,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001078,0
375,Polygon,381012055,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001387,0
377,Polygon,381020001,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001177,0
381,Polygon,381020024,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.00136,0
382,Polygon,381020026,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001242,0
383,Polygon,381020027,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001333,0
